Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,9430.62109375,9470.2451171875,9351.3720703125,9390.99609375,9193.4072265625,1047167
2014-01-03,9371.1845703125,9390.99609375,9311.7470703125,9371.1845703125,9174.0126953125,984788
2014-01-06,9371.1845703125,9509.8701171875,9311.7470703125,9509.8701171875,9309.7802734375,1522633
2014-01-07,9509.8701171875,9509.8701171875,9410.80859375,9410.80859375,9212.802734375,1468728
2014-01-08,9390.99609375,9509.8701171875,9390.99609375,9470.2451171875,9270.98828125,654134
2014-01-09,9450.4326171875,9589.119140625,9450.4326171875,9589.119140625,9387.361328125,1601268
2014-01-10,9608.9306640625,9807.052734375,9608.9306640625,9648.5556640625,9445.5478515625,3557589
2014-01-13,9707.9921875,9787.2412109375,9648.5556640625,9727.8046875,9523.12890625,3902778
2014-01-14,9727.8046875,9886.3017578125,9707.9921875,9747.6162109375,9542.5234375,21034718
2014-01-15,9826.865234375,10203.2978515625,9807.052734375,9906.1142578125,9697.6865234375,7268583
2014-01-16,10104.236328125,10104.236328125,9906.1142578125,10005.17578125,9794.6650390625,4619106
2014-01-17,10104.236328125,10401.419921875,10005.17578125,10203.2978515625,9988.6171875,6021118
2014-01-20,10203.2978515625,10599.5419921875,10203.2978515625,10302.359375,10085.5947265625,4461678
2014-01-21,10302.359375,10500.4814453125,10203.2978515625,10500.4814453125,10279.548828125,3857001
2014-01-22,10599.5419921875,10698.603515625,10302.359375,10500.4814453125,10279.548828125,3958553
2014-01-23,10500.4814453125,10797.6650390625,10401.419921875,10797.6650390625,10570.4794921875,2403400
2014-01-24,10896.7255859375,11193.9091796875,10698.603515625,11094.84765625,10861.4091796875,4426495
2014-01-27,11094.84765625,11193.9091796875,10896.7255859375,10995.787109375,10764.43359375,3199830
2014-02-06,10896.7255859375,10995.787109375,10599.5419921875,10797.6650390625,10570.4794921875,3147286
2014-02-07,10797.6650390625,10896.7255859375,10599.5419921875,10599.5419921875,10376.5244140625,4307077
2014-02-10,10698.603515625,11094.84765625,10500.4814453125,10995.787109375,10764.43359375,3085605
2014-02-11,11094.84765625,11193.9091796875,10797.6650390625,10896.7255859375,10667.455078125,6346321
2014-02-12,10995.787109375,11292.970703125,10995.787109375,11292.970703125,11055.3642578125,4936887
2014-02-13,11292.970703125,11392.03125,11094.84765625,11292.970703125,11055.3642578125,3134519
2014-02-14,11292.970703125,11392.03125,11094.84765625,11193.9091796875,10958.3857421875,3146683
2014-02-17,11094.84765625,11292.970703125,10995.787109375,11094.84765625,10861.4091796875,1815131
2014-02-18,11094.84765625,11292.970703125,10995.787109375,11292.970703125,11055.3642578125,2549023
2014-02-19,11292.970703125,11689.21484375,11292.970703125,11689.21484375,11443.2705078125,5044193
2014-02-20,11689.21484375,11887.3369140625,10995.787109375,11292.970703125,11055.3642578125,5569579
2014-02-21,11292.970703125,11590.1533203125,10995.787109375,11491.0927734375,11249.3173828125,3780989
2014-02-24,11491.0927734375,11788.2763671875,11292.970703125,11788.2763671875,11540.248046875,5168262
2014-02-25,11590.1533203125,12184.5205078125,11590.1533203125,12184.5205078125,11928.154296875,8165051
2014-02-26,12283.58203125,12778.8876953125,12184.5205078125,12778.8876953125,12510.0166015625,11741977
2014-02-27,12679.826171875,12877.9482421875,12481.7041015625,12481.7041015625,12219.0849609375,7496632
2014-02-28,12481.7041015625,12679.826171875,12283.58203125,12679.826171875,12413.0390625,9251800
2014-03-03,12580.765625,12679.826171875,12085.4599609375,12184.5205078125,11928.154296875,6094908
2014-03-04,12085.4599609375,12184.5205078125,11887.3369140625,12085.4599609375,11831.1787109375,5012094
2014-03-05,12283.58203125,12382.642578125,12085.4599609375,12283.58203125,12025.1328125,3086770
2014-03-06,12283.58203125,12481.7041015625,12184.5205078125,12382.642578125,12122.1083984375,3664745
2014-03-07,12382.642578125,12580.765625,12184.5205078125,12481.7041015625,12219.0849609375,5310801
2014-03-10,12481.7041015625,12580.765625,12382.642578125,12580.765625,12316.0634765625,2690856
2014-03-11,12580.765625,13373.25390625,12382.642578125,13274.193359375,12994.9013671875,10872162
2014-03-12,13769.4990234375,13868.560546875,13373.25390625,13373.25390625,13091.876953125,9923559
2014-03-13,13472.3154296875,13571.376953125,13373.25390625,13472.3154296875,13188.853515625,5384949
2014-03-14,13472.3154296875,13571.376953125,13274.193359375,13373.25390625,13091.876953125,8426199
2014-03-17,13571.376953125,13571.376953125,13373.25390625,13373.25390625,13091.876953125,5362484
2014-03-18,13373.25390625,14264.8046875,13274.193359375,14066.6826171875,13770.7158203125,11460286
2014-03-19,14165.7431640625,14462.9267578125,14165.7431640625,14264.8046875,13964.6689453125,3770894
2014-03-20,14264.8046875,14363.8662109375,13967.62109375,14066.6826171875,13770.7158203125,6248656
2014-03-21,14066.6826171875,14363.8662109375,13967.62109375,14165.7431640625,13867.6923828125,5365814
2014-03-24,14066.6826171875,14264.8046875,14066.6826171875,14066.6826171875,13770.7158203125,3751660
2014-03-25,14066.6826171875,14165.7431640625,13769.4990234375,13769.4990234375,13479.78515625,6132313
2014-03-26,13868.560546875,13967.62109375,13373.25390625,13472.3154296875,13188.853515625,9776625
2014-03-27,13472.3154296875,13571.376953125,13274.193359375,13472.3154296875,13188.853515625,4769715
2014-03-28,13670.4375,14066.6826171875,13571.376953125,13967.62109375,13673.73828125,5404074
2014-03-31,14264.8046875,14264.8046875,13769.4990234375,13868.560546875,13576.7626953125,4948348
2014-04-01,13868.560546875,13868.560546875,13472.3154296875,13670.4375,13382.8076171875,5519206
2014-04-02,13670.4375,13868.560546875,13175.1318359375,13472.3154296875,13188.853515625,9748275
2014-04-03,13571.376953125,13670.4375,13373.25390625,13571.376953125,13285.83203125,2980726
2014-04-04,13571.376953125,13670.4375,13373.25390625,13472.3154296875,13188.853515625,4737769
2014-04-07,13571.376953125,13868.560546875,13472.3154296875,13769.4990234375,13479.78515625,5647913
2014-04-08,13868.560546875,14165.7431640625,13868.560546875,13967.62109375,13673.73828125,9607189
2014-04-10,14066.6826171875,14066.6826171875,13868.560546875,13868.560546875,13576.7626953125,6439777
